commit	prompt_variant	att1_sr_diag	total_sr_diag	att1_sr_full	total_sr_full	cost_usd	status	description
-	android-json-baseline	1/16	4/16	-	-	5.86	baseline	Unmodified android-json.txt template with gpt-5.3-codex. Major failure: shell escaping for sqlite3 queries.
-	optimized-v1-r1-preseed	0/16	5/16	-	-	7.03	reject	Pre-seeded SDK sections but examples still used broken quoting pattern. 0 att1 pass.
-	optimized-v1-r2-echopipe	6/16	7/16	37/87	52/87	23.33	accept	CRITICAL fix: all sqlite3 examples use echo-pipe, added NEVER warning for broken pattern. +5 att1 diag.
-	optimized-v1-r3-dbwrite	6/16	8/16	42/87	51/87	19.28	accept	DB write guidance, file ops improvements, act-quickly principle. +5 att1 full (37→42), total flat.
-	optimized-v1-r4-noheredoc	6/16	9/16	43/87	53/87	18.20	accept	Remove broken heredoc, fix file write guidance. Recovered 5 regressions. New best 53/87.
-	optimized-v1-r5-tmpfile	5/16	8/16	-	-	3.73	reject	Temp-file as primary SQL method. Regressed att1 (6→5). Too verbose for simple queries.
-	optimized-v1-r5b-fallback	6/16	11/16	40/87	52/87	20.26	reject	Echo-pipe primary + temp-file fallback. Regressed on full (53→52 total, 43→40 att1). Noisy.
-	optimized-v1-r6-base64	7/16	11/16	42/87	58/87	17.84	accept	Base64 for complex SQL. +5 net total (53→58). Unlocked Broccoli, RetroMusic, calendar ops.
-	optimized-v1-r7-base64first	4/16	9/16	-	-	4.47	reject	"Always base64 first" too aggressive — agent misapplies to simple queries. Reverted.
-	optimized-v1-r7b-refined	5/16	8/16	-	-	-	reject	Minor wording refinement on base64 guidance. Still regressed vs R6. Diagnostic too noisy.
-	optimized-v1-r8-catpipe	5/16	10/16	41/87	48/87	20.98	reject	Fixed base64 piping to "cat | sqlite3". Regressed badly on full (-10 total). Reverted.
-	optimized-v1-r9-lean	3/16	8/16	-	-	-	reject	Cut prompt from 186→90 lines. Lost too much guidance. Reverted to R6.
# Phase 1 final: R6 is best prompt-only — 42/87 att1 (48.3%), 58/87 total (66.7%).
# Phase 2: Added sql, write-file, read-file, find-files tools + v2 clean prompt (no benchmark leakage).
-	v2-tools-baseline	10/16	13/16	57/87	69/87	9.85	baseline	v2 clean prompt + 4 tools. No app-specific hints. Oracle 69/87 (79%).
-	v2-tools-r1	-	-	58/87	72/87	8.82	accept	Read-before-write, query-don't-explore, manual date. +3 total (69→72). Gap=7.
-	v2-tools-r2	-	-	55/87	68/87	8.56	reject	No-complex-parse guidance. Regressed -4 total. Reverted.
-	v2-tools-r3	-	-	55/87	71/87	7.95	reject	Schema inspection, numeric format, answer precisely. -1 vs R1. Noise.
-	v2-tools-r4-temp03	-	-	56/87	70/87	7.88	reject	temp=0.3: less diversity hurts oracle retries. -2 vs R1.
# v2 best: R1 (temp=0.7) = 72/87 (82.8%) oracle. Gap to 90% = 7 tasks. 4 rounds used.
